,date,open,high,low,close,volume
1329,2017-04-25,1448500.0,1459500.0,1447500.0,1453500.0,2915.242393630012
1330,2017-04-26,1453500.0,1467500.0,1453500.0,1458500.0,3322.564734800001
1331,2017-04-27,1457500.0,1477000.0,1451500.0,1476000.0,4331.747081700019
1332,2017-04-28,1476500.0,1500000.0,1463000.0,1477500.0,6470.526493080016
1333,2017-04-29,1477500.0,1603000.0,1366000.0,1491000.0,6730.231258700033
1334,2017-04-30,1492500.0,1538000.0,1481500.0,1535000.0,4558.44101980002
1335,2017-05-01,1526000.0,1650000.0,1517500.0,1635000.0,7788.821718370049
1336,2017-05-02,1637500.0,1750000.0,1632500.0,1700500.0,7182.947464850043
1337,2017-05-03,1700500.0,1735500.0,1660000.0,1699000.0,4393.577562820001
1338,2017-05-04,1702000.0,1875000.0,1694500.0,1814000.0,9673.881068630093
1339,2017-05-05,1812000.0,2100000.0,1780000.0,2013500.0,14579.021051300217
1340,2017-05-06,2011000.0,2013500.0,1823000.0,1896500.0,11170.726613270026
1341,2017-05-07,1898500.0,1960000.0,1892000.0,1916500.0,9988.266105299992
1342,2017-05-08,1916500.0,2100000.0,1910000.0,2081500.0,13163.349005810165
1343,2017-05-09,2084500.0,2499500.0,2074000.0,2307500.0,14707.195466479676
1344,2017-05-10,2310500.0,2360000.0,2123500.0,2298000.0,11928.891095489667
1345,2017-05-11,2300000.0,2430000.0,2225000.0,2353500.0,9057.518452210083
1346,2017-05-12,2353000.0,2398000.0,2281000.0,2290000.0,8467.48836907011
1347,2017-05-13,2288000.0,2309500.0,2130500.0,2231000.0,7391.770846870042
1348,2017-05-14,2235000.0,2324500.0,2231000.0,2285000.0,5251.279129020027
1349,2017-05-15,2285500.0,2285500.0,2093000.0,2150500.0,7204.071012440097
1350,2017-05-16,2150500.0,2220000.0,2119500.0,2209500.0,9697.715766780062
1351,2017-05-17,2209000.0,2360000.0,2185500.0,2276000.0,7699.5318478000745
1352,2017-05-18,2269500.0,2345000.0,2250000.0,2289500.0,7588.583987160207
1353,2017-05-19,2289000.0,2383000.0,2262000.0,2374500.0,7940.975296330093
1354,2017-05-20,2374500.0,2588500.0,2350000.0,2474500.0,8476.01816818006
1355,2017-05-21,2474500.0,2647000.0,2468500.0,2611000.0,6981.123924040065
